conversation.home_assistant | Home Assistant
event.backup_automatic_backup | Backup Automatic backup
sensor.backup_backup_manager_state | Backup Backup Manager state
sensor.backup_next_scheduled_automatic_backup | Backup Next scheduled automatic backup
sensor.backup_last_successful_automatic_backup | Backup Last successful automatic backup
sensor.backup_last_attempted_automatic_backup | Backup Last attempted automatic backup
scene.iniciar_la_manana | Iniciar la mañana 
scene.nezu_zoom_camara | NEZU · Zoom + Cámara
scene.prueba_2 | Prueba 2
script.lock_board_script | Lock the Board Screen
script.unlock_screen_script | Unlock the Board Screen
script.power_off_screen_script | Power Off the Screen
script.home_screen_script | Return to Home Screen
script.open_zoom_script | Launch Zoom App
script.open_meet_script | Launch Google Meet App
script.open_board_app_script | Launch Board App
script.open_projector_app_script | Launch Projector App
script.get_volume_script | Get Current Volume
script.volume_up_script | Increase Volume
script.volume_down_script | Decrease Volume
script.toggle_mute_script | Toggle Mute
script.enable_rotation_script | Enable Screen Rotation
script.disable_rotation_script | Disable Screen Rotation
script.launch_browser_script | Launch Chrome Browser
script.clear_notifications_script | Clear Android Notifications
script.open_settings_script | Open Android Settings
script.open_camera_script | Launch Camera App
script.screenshot_script | Take Screenshot
script.clear_chrome_cache_script | Clear Chrome App Cache
script.restart_device_script | Restart the Device
zone.nezu | NEZU
zone.home | Home Assistant
person.nezu | Nezu
person.gustavo | Gustavo
person.oscar | Oscar
person.daniel | Daniel
sun.sun | Sun
sensor.sun_next_dawn | Sun Next dawn
sensor.sun_next_dusk | Sun Next dusk
sensor.sun_next_midnight | Sun Next midnight
sensor.sun_next_noon | Sun Next noon
sensor.sun_next_rising | Sun Next rising
sensor.sun_next_setting | Sun Next setting
input_text.nezu_oscar_cmds_index | NEZU Oscar cmds index
update.sonoff_lan_update | Sonoff LAN update
update.custom_sidebar_update | Custom Sidebar update
update.card_mod_update | card-mod update
update.youtube_update | youtube update
update.alexa_media_player_update | Alexa Media Player update
update.spotcast_update | Spotcast update
update.google_home_update | Google Home update
update.hacs_update | HACS update
update.blackened_theme_update | Blackened Theme update
update.config_template_card_update | Config Template Card update
update.light_entity_card_update | Light Entity Card update
update.browser_mod_update | browser_mod update
update.ios_themes_dark_mode_and_light_mode_update | iOS Themes - Dark Mode and Light Mode update
update.magic_home_party_card_update | Magic Home Party Card update
tts.google_translate_en_com | Google Translate en com
binary_sensor.ipad_de_guus_focus | iPad de Guus Focus
device_tracker.ipad_de_guus | iPad de Guus
sensor.ipad_de_guus_activity | iPad de Guus Activity
sensor.ipad_de_guus_connection_type | iPad de Guus Connection Type
sensor.ipad_de_guus_geocoded_location | iPad de Guus Geocoded Location
sensor.ipad_de_guus_last_update_trigger | iPad de Guus Last Update Trigger
sensor.ipad_de_guus_app_version | iPad de Guus App Version
sensor.ipad_de_guus_location_permission | iPad de Guus Location permission
sensor.ipad_de_guus_audio_output | iPad de Guus Audio Output
sensor.ipad_de_guus_battery_level | iPad de Guus Battery Level
sensor.ipad_de_guus_storage | iPad de Guus Storage
sensor.ipad_de_guus_bssid | iPad de Guus BSSID
sensor.ipad_de_guus_ssid | iPad de Guus SSID
sensor.ipad_de_guus_battery_state | iPad de Guus Battery State
sensor.ipad_de_guus_distance | iPad de Guus Distance
sensor.ipad_de_guus_steps | iPad de Guus Steps
device_tracker.iphone_de_guus | iPhone de Guus
